,title_year,start_year,runtime_minutes,genres,averagerating,numvotes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,Unknown,War,Western,release_date,production_budget,domestic_gross,worldwide_gross,total_gross,gross_less_budget
1194,Sing (2016),2016,108.0,"Animation,Comedy,Family",7.1,115951,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-12-21,75000000,270329045,634454789,904783834,829783834
551,J. Edgar (2011),2011,137.0,"Biography,Crime,Drama",6.6,115925,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-11-09,35000000,37306030,84606030,121912060,86912060
908,Rampage (2018),2018,107.0,"Action,Adventure,Sci-Fi",6.1,115891,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-04-13,120000000,101028233,428056280,529084513,409084513
547,Savages (2012),2012,131.0,"Crime,Drama,Thriller",6.5,115793,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012-07-06,45000000,47323100,82513490,129836590,84836590
294,The Watch (2012),2012,102.0,"Action,Comedy,Horror",5.7,115757,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-07-27,55000000,34353000,67130045,101483045,46483045
825,Identity Thief (2013),2013,111.0,"Adventure,Comedy,Crime",5.7,115624,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-08,35000000,134506920,175361578,309868498,274868498
206,Jack Ryan: Shadow Recruit (2014),2014,105.0,"Action,Drama,Thriller",6.2,114913,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014-01-17,60000000,50577412,131377412,181954824,121954824
1365,The Meg (2018),2018,113.0,"Action,Horror,Sci-Fi",5.7,114042,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2018-08-10,178000000,145443742,529530715,674974457,496974457
39,Hall Pass (2011),2011,105.0,"Comedy,Romance",5.9,113775,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2011-02-25,68000000,45060734,87173475,132234209,64234209
150,Life as We Know It (2010),2010,114.0,"Comedy,Drama,Romance",6.6,113077,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2010-10-08,38000000,53374681,105887837,159262518,121262518
